_startDate,_endDate,_value
2021-03-25 20:07:43 +0200,2021-03-25 20:08:16 +0200,0
2021-03-25 20:10:54 +0200,2021-03-25 20:11:13 +0200,0
2021-03-26 12:59:31 +0200,2021-03-26 12:59:47 +0200,0
2021-03-26 13:23:52 +0200,2021-03-26 13:24:21 +0200,0
2021-03-26 13:25:08 +0200,2021-03-26 13:27:08 +0200,0
2021-03-26 13:55:41 +0200,2021-03-26 13:57:11 +0200,0
2021-03-26 14:07:01 +0200,2021-03-26 14:07:43 +0200,0.06
2021-03-26 14:36:18 +0200,2021-03-26 14:36:42 +0200,0.08
2021-03-26 14:42:54 +0200,2021-03-26 14:44:16 +0200,0.02
2021-03-26 16:05:36 +0200,2021-03-26 16:06:52 +0200,0
2021-03-26 16:48:34 +0200,2021-03-26 16:49:00 +0200,0
2021-03-26 19:32:20 +0200,2021-03-26 19:33:14 +0200,0
2021-03-26 19:34:59 +0200,2021-03-26 19:36:23 +0200,0.02
2021-03-26 20:02:31 +0200,2021-03-26 20:02:56 +0200,0.08
